ID,Station,DateTimeET,Parameter,Depth_m,FinalResult,Units,Probe_Type,UniqueID,DataSource,DataSourceID,ImportDate
92,302,2025-07-21T10:00:00Z,Oxygen Saturation,4.984,4.2,%,YSI_EXO2,302_2025-07-21 10:00_4.984_LDOs_4,HoldingPond_profiles_2025.xlsx_302_21July,92,2025-08-08
93,302,2025-07-21T10:00:00Z,Dissolved Oxygen,4.984,0.47,mg/L,YSI_EXO2,302_2025-07-21 10:00_4.984_LDOd_4,HoldingPond_profiles_2025.xlsx_302_21July,93,2025-08-08
94,302,2025-07-21T10:00:00Z,Specific Conductance,4.984,87.7,uS/cm,YSI_EXO2,302_2025-07-21 10:00_4.984_SPCD_4,HoldingPond_profiles_2025.xlsx_302_21July,94,2025-08-08
95,302,2025-07-21T10:00:00Z,pH,4.984,5.59,pH,YSI_EXO2,302_2025-07-21 10:00_4.984_pH_4,HoldingPond_profiles_2025.xlsx_302_21July,95,2025-08-08
96,302,2025-07-21T10:00:00Z,Turbidity FNU,4.984,1.98,FNU,YSI_EXO2,302_2025-07-21 10:00_4.984_TUR-FNU_4,HoldingPond_profiles_2025.xlsx_302_21July,96,2025-08-08
97,302,2025-07-21T10:00:00Z,Blue Green Algae RFU,4.984,0.61,RFU,YSI_EXO2,302_2025-07-21 10:00_4.984_BGA-PC-RFU_4,HoldingPond_profiles_2025.xlsx_302_21July,97,2025-08-08
98,302,2025-07-21T10:00:00Z,Blue Green Algae,4.984,0.67,ug/L,YSI_EXO2,302_2025-07-21 10:00_4.984_BGA-PC_4,HoldingPond_profiles_2025.xlsx_302_21July,98,2025-08-08
99,302,2025-07-21T10:00:00Z,Chlorophyll RFU,4.984,0.35,RFU,YSI_EXO2,302_2025-07-21 10:00_4.984_Chl-RFU_4,HoldingPond_profiles_2025.xlsx_302_21July,99,2025-08-08
100,302,2025-07-21T10:00:00Z,Chlorophyll,4.984,1.63,ug/L,YSI_EXO2,302_2025-07-21 10:00_4.984_Chl_4,HoldingPond_profiles_2025.xlsx_302_21July,100,2025-08-08
101,302,2025-01-10T13:21:00Z,Water Temperature,-0.055,3.046,Deg-C,YSI_EXO2,302_2025-01-10 13:21_-0.055_TWA-C_4,HoldingPond_profiles_2025.xlsx_302_10Jan,1,2025-08-08
102,302,2025-01-10T13:21:00Z,Oxygen Saturation,-0.055,91.8,%,YSI_EXO2,302_2025-01-10 13:21_-0.055_LDOs_4,HoldingPond_profiles_2025.xlsx_302_10Jan,2,2025-08-08
